001 | 6.14s | total train loss: 1.804e-01 | total test loss: 4.521e-02 
002 | 0.63s | total train loss: 4.331e-02 | total test loss: 4.444e-02 
003 | 0.36s | total train loss: 4.305e-02 | total test loss: 4.463e-02 
004 | 0.36s | total train loss: 4.307e-02 | total test loss: 4.427e-02 
005 | 0.40s | total train loss: 4.305e-02 | total test loss: 4.461e-02 
006 | 0.36s | total train loss: 4.301e-02 | total test loss: 4.429e-02 
007 | 0.36s | total train loss: 4.301e-02 | total test loss: 4.438e-02 
008 | 0.36s | total train loss: 4.299e-02 | total test loss: 4.470e-02 
009 | 0.36s | total train loss: 4.298e-02 | total test loss: 4.446e-02 
010 | 0.36s | total train loss: 4.299e-02 | total test loss: 4.442e-02 
011 | 0.36s | total train loss: 4.300e-02 | total test loss: 4.442e-02 
012 | 0.36s | total train loss: 4.298e-02 | total test loss: 4.443e-02 
013 | 0.36s | total train loss: 4.297e-02 | total test loss: 4.390e-02 
014 | 0.36s | total train loss: 4.299e-02 | total test loss: 4.431e-02 
015 | 0.36s | total train loss: 4.302e-02 | total test loss: 4.395e-02 
016 | 0.36s | total train loss: 4.297e-02 | total test loss: 4.446e-02 
017 | 0.36s | total train loss: 4.303e-02 | total test loss: 4.417e-02 
018 | 0.36s | total train loss: 4.301e-02 | total test loss: 4.444e-02 
019 | 0.36s | total train loss: 4.300e-02 | total test loss: 4.430e-02 
020 | 0.36s | total train loss: 4.295e-02 | total test loss: 4.456e-02 
021 | 0.36s | total train loss: 4.294e-02 | total test loss: 4.416e-02 
022 | 0.36s | total train loss: 4.301e-02 | total test loss: 4.444e-02 
023 | 0.36s | total train loss: 4.303e-02 | total test loss: 4.404e-02 
024 | 0.36s | total train loss: 4.300e-02 | total test loss: 4.407e-02 
025 | 0.36s | total train loss: 4.298e-02 | total test loss: 4.458e-02 
026 | 0.36s | total train loss: 4.299e-02 | total test loss: 4.426e-02 
027 | 0.36s | total train loss: 4.296e-02 | total test loss: 4.449e-02 
028 | 0.36s | total train loss: 4.300e-02 | total test loss: 4.426e-02 
029 | 0.36s | total train loss: 4.296e-02 | total test loss: 4.408e-02 
030 | 0.36s | total train loss: 4.299e-02 | total test loss: 4.439e-02 
